,type,id,var_noise,initial_SNR,visu_SNR,sure_SNR,bayes_SNR,spc3_SNR,cusum_SNR,cusum2_SNR
163,AFIB,2,0.008,72981311.00803071,-44.24215426602217,-24.62462194733976,-39.81400944765538,-77.19540389348299,-77.20029000349263,-58.727918954614495
164,AFIB,2,0.01,45639111.105762504,-42.16618648367516,-26.945430431307322,-37.6475275896108,-75.15666491407478,-75.16155082598391,-56.68920182190307
165,AFIB,3,0.002,1111508742.208191,-54.4425269952125,-46.67859796809715,-52.664594233951405,-86.26632634522426,-86.28738707858246,-67.45173160703132
166,AFIB,3,0.004,237961042.94743437,-47.748420150286506,-39.98474505173891,-45.97055524527409,-79.5722556959044,-79.59331576264618,-60.75769319359396
167,AFIB,3,0.006,116291805.06271175,-44.638895543168424,-36.834406431981975,-42.861050790080135,-76.46268872969404,-76.48374935899106,-57.64814908733627
168,AFIB,3,0.008,66340305.60382406,-42.17219575903175,-34.43810100198235,-40.423464317747815,-74.02497937663719,-74.04604088030803,-55.21030423704738
169,AFIB,3,0.01,39496584.9133708,-39.94915565931851,-32.186675143728124,-38.17203512142777,-71.77278810601806,-71.79384888485171,-52.95813026517518
170,AFIB,4,0.002,1145514207.0072956,-54.558121985708596,-51.59345030826846,-52.08186015036614,-88.18681294520024,-88.18927272851111,-67.70193694053206
171,AFIB,4,0.004,296150414.7106366,-48.65499034402212,-45.71861377019133,-46.20701699159141,-82.31192829816368,-82.31438790402409,-61.827062248727515
172,AFIB,4,0.006,128407811.71547365,-45.02586745262984,-42.08947930384919,-42.57787385636889,-78.68271956098005,-78.68517909998721,-58.197852552192586
173,AFIB,4,0.008,71906105.6777225,-42.62095331827511,-39.57133482078043,-40.05971122625307,-76.16446291382438,-76.16692314250975,-55.679609235495235
174,AFIB,4,0.01,46730698.55618495,-40.74930385888666,-37.699772212497386,-38.188134814878005,-74.2928367150546,-74.29529671701687,-53.80793392829538
175,AFIB,5,0.002,3036134527.4392343,-53.59159600692705,-48.6085486906908,-51.36594106957937,-93.17048920825096,-93.17081371576491,-65.62373393514326
176,AFIB,5,0.004,785639533.6652496,-47.720632011598944,-42.6960583582672,-45.77395265898291,-87.29951153155382,-87.29983603912373,-59.75277760998006
177,AFIB,5,0.006,324846792.9129395,-43.914744658878845,-38.78035606512061,-41.938556587654915,-83.46406397552533,-83.46438848318975,-55.91710389882522
178,AFIB,5,0.008,174294587.51947144,-41.210772818297045,-36.280097065502034,-39.234720483972666,-80.76011969009943,-80.76044419739847,-53.213225790371894
179,AFIB,5,0.01,126016398.51395833,-39.74350999863366,-34.70994497285606,-37.49147866504372,-79.35154591499042,-79.35187042255353,-51.804750477966465
180,AFIB,6,0.002,910396423.3177391,-55.018599784603104,-39.57536980259178,-53.323611697003805,-88.06372597959053,-88.1063924736609,-67.54501029061632
181,AFIB,6,0.004,230475090.36197534,-49.05258438719508,-34.57961185405252,-47.28959251091957,-82.09765674146058,-82.14032392371371,-61.57891236990476
182,AFIB,6,0.006,104845806.86621265,-45.631882268491594,-31.26328678003061,-43.86894745592693,-78.6769334932209,-78.71960082471197,-58.158194383052965
183,AFIB,6,0.008,55046897.026200764,-42.83381642052625,-27.32741375873848,-41.07018236553177,-75.87875502837026,-75.92142081720165,-55.36008148533827
184,AFIB,6,0.01,34979965.63134604,-40.86481279110856,-25.36245613672804,-39.101240834453456,-73.90962743874555,-73.95229618395992,-53.39085006032407
